"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2023-24","APR","41","1139.5","N. Mariana Islands","0.036","6-23 months","2023-24, N. Mariana Islands: 6-23 months","Child"
"2023-24","APR","42","2593","Marshall Islands","0.0162","6-23 months","2023-24, Marshall Islands: 6-23 months","Child"
"2023-24","APR","57","2226","N. Mariana Islands","0.0256","2-4 years","2023-24, N. Mariana Islands: 2-4 years","Child"
"2023-24","APR","59","2844","Federated States of Micronesia","0.0207","6-23 months","2023-24, Federated States of Micronesia: 6-23 months","Child"
"2023-24","APR","61","37396.5","Puerto Rico","0.0016","6-23 months","2023-24, Puerto Rico: 6-23 months","Child"
"2023-24","APR","62","52373","Guam","0.0012","6 months to 17 years","2023-24, Guam: 6 months to 17 years","Child"
"2023-24","APR","65","3019","N. Mariana Islands","0.0215","5-8 years","2023-24, N. Mariana Islands: 5-8 years","Child"
"2023-24","APR","73","3916","N. Mariana Islands","0.0186","9-12 years","2023-24, N. Mariana Islands: 9-12 years","Child"
"2023-24","APR","76","4812","Federated States of Micronesia","0.0158","65+ years","2023-24, Federated States of Micronesia: 65+ years","Adult"
"2023-24","APR","81","1992","Republic of Palau","0.0407","65+ years","2023-24, Republic of Palau: 65+ years","Adult"
"2023-24","APR","85","4023","Republic of Palau","0.0211","50-64 years","2023-24, Republic of Palau: 50-64 years","Adult"
"2023-24","APR","85","38581","U.S. Virgin Islands ","0.0022","18-49 years","2023-24, U.S. Virgin Islands : 18-49 years","Adult"
"2023-24","APR","90","5092","N. Mariana Islands","0.0177","13-17 years","2023-24, N. Mariana Islands: 13-17 years","Child"
"2023-24","APR","95","9510.5","Wyoming","0.01","6-23 months","2023-24, Wyoming: 6-23 months","Child"
"2023-24","APR","96","10382","Federated States of Micronesia","0.0092","13-17 years","2023-24, Federated States of Micronesia: 13-17 years","Child"
"2023-24","APR","102","10568","Republic of Palau","0.0097","18-49 years","2023-24, Republic of Palau: 18-49 years","Adult"
"2023-24","APR","103","74811","Puerto Rico","0.0014","2-4 years","2023-24, Puerto Rico: 2-4 years","Child"
"2023-24","APR","109","29342","Marshall Islands","0.0037","6 months to 17 years","2023-24, Marshall Islands: 6 months to 17 years","Child"
"2023-24","APR","133","70741","Guam","0.0019","18-49 years","2023-24, Guam: 18-49 years","Adult"
"2023-24","APR","134","12246","Federated States of Micronesia","0.0109","50-64 years","2023-24, Federated States of Micronesia: 50-64 years","Adult"
"2023-24","APR","137","36097","Marshall Islands","0.0038","18-49 years","2023-24, Marshall Islands: 18-49 years","Adult"
"2023-24","APR","147","7989","Federated States of Micronesia","0.0184","9-12 years","2023-24, Federated States of Micronesia: 9-12 years","Child"
"2023-24","APR","171","5706","Federated States of Micronesia","0.03","2-4 years","2023-24, Federated States of Micronesia: 2-4 years","Child"
"2023-24","APR","171","22448","U.S. Virgin Islands ","0.0076","50-64 years","2023-24, U.S. Virgin Islands : 50-64 years","Adult"
"2023-24","APR","186","47529","Marshall Islands","0.0039","18+ years","2023-24, Marshall Islands: 18+ years","Adult"
"2023-24","APR","186","53615.5","Mississippi","0.0035","6-23 months","2023-24, Mississippi: 6-23 months","Child"
"2023-24","APR","201","21113","Wyoming","0.0095","2-4 years","2023-24, Wyoming: 2-4 years","Child"
"2023-24","APR","204","7726","Federated States of Micronesia","0.0264","5-8 years","2023-24, Federated States of Micronesia: 5-8 years","Child"
"2023-24","APR","205","27742","Guam","0.0074","50-64 years","2023-24, Guam: 50-64 years","Adult"
"2023-24","APR","222","118083","Puerto Rico","0.0019","5-8 years","2023-24, Puerto Rico: 5-8 years","Child"
"2023-24","APR","236","26572.5","West Virginia","0.0089","6-23 months","2023-24, West Virginia: 6-23 months","Child"
"2023-24","APR","253","3754","N. Mariana Islands","0.0674","65+ years","2023-24, N. Mariana Islands: 65+ years","Adult"
"2023-24","APR","257","16061","Guam","0.016","65+ years","2023-24, Guam: 65+ years","Adult"
"2023-24","APR","268","16583","Republic of Palau","0.0162","18+ years","2023-24, Republic of Palau: 18+ years","Adult"
"2023-24","APR","280","21412.5","Republic of Palau","0.0131","Overall","2023-24, Republic of Palau: Overall","All"
"2023-24","APR","295","76871","Marshall Islands","0.0038","Overall","2023-24, Marshall Islands: Overall","All"
"2023-24","APR","311","110338","Mississippi","0.0028","2-4 years","2023-24, Mississippi: 2-4 years","Child"
"2023-24","APR","326","15392.5","N. Mariana Islands","0.0212","6 months to 17 years","2023-24, N. Mariana Islands: 6 months to 17 years","Child"
"2023-24","APR","341","55856","West Virginia","0.0061","2-4 years","2023-24, West Virginia: 2-4 years","Child"
"2023-24","APR","342","136345","Puerto Rico","0.0025","9-12 years","2023-24, Puerto Rico: 9-12 years","Child"
"2023-24","APR","401","29524","Wyoming","0.0136","5-8 years","2023-24, Wyoming: 5-8 years","Child"
"2023-24","APR","444","20478","U.S. Virgin Islands ","0.0217","65+ years","2023-24, U.S. Virgin Islands : 65+ years","Adult"
"2023-24","APR","447","49666","Federated States of Micronesia","0.009","18-49 years","2023-24, Federated States of Micronesia: 18-49 years","Adult"
"2023-24","APR","448","20301","N. Mariana Islands","0.0221","18-49 years","2023-24, N. Mariana Islands: 18-49 years","Adult"
"2023-24","APR","449","12020","N. Mariana Islands","0.0374","50-64 years","2023-24, N. Mariana Islands: 50-64 years","Adult"
"2023-24","APR","505","85458","Alabama","0.0059","6-23 months","2023-24, Alabama: 6-23 months","Child"
"2023-24","APR","521","54115","Nevada","0.0096","6-23 months","2023-24, Nevada: 6-23 months","Child"
"2023-24","APR","523","31095","Wyoming","0.0168","9-12 years","2023-24, Wyoming: 9-12 years","Child"
"2023-24","APR","524","149649","Mississippi","0.0035","5-8 years","2023-24, Mississippi: 5-8 years","Child"
"2023-24","APR","590","86184","Louisiana","0.0068","6-23 months","2023-24, Louisiana: 6-23 months","Child"
"2023-24","APR","595","15908.5","Delaware","0.0374","6-23 months","2023-24, Delaware: 6-23 months","Child"
"2023-24","APR","595","114544","Guam","0.0052","18+ years","2023-24, Guam: 18+ years","Adult"
"2023-24","APR","626","79949","West Virginia","0.0078","5-8 years","2023-24, West Virginia: 5-8 years","Child"
"2023-24","APR","632","17119.5","Montana","0.0369","6-23 months","2023-24, Montana: 6-23 months","Child"
"2023-24","APR","640","54432.5","Arkansas","0.0118","6-23 months","2023-24, Arkansas: 6-23 months","Child"
"2023-24","APR","657","66724","Federated States of Micronesia","0.0098","18+ years","2023-24, Federated States of Micronesia: 18+ years","Adult"
"2023-24","APR","657","166917","Guam","0.0039","Overall","2023-24, Guam: Overall","All"
"2023-24","APR","677","34647","Federated States of Micronesia","0.0195","6 months to 17 years","2023-24, Federated States of Micronesia: 6 months to 17 years","Child"
"2023-24","APR","700","81507","U.S. Virgin Islands ","0.0086","18+ years","2023-24, U.S. Virgin Islands : 18+ years","Adult"
"2023-24","APR","710","187055","Puerto Rico","0.0038","13-17 years","2023-24, Puerto Rico: 13-17 years","Child"
"2023-24","APR","713","105648","U.S. Virgin Islands ","0.0067","Overall","2023-24, U.S. Virgin Islands : Overall","All"
"2023-24","APR","715","178339","Alabama","0.004","2-4 years","2023-24, Alabama: 2-4 years","Child"
"2023-24","APR","748","32606.5","Idaho","0.0229","6-23 months","2023-24, Idaho: 6-23 months","Child"
"2023-24","APR","755","14422","Alaska","0.0524","6-23 months","2023-24, Alaska: 6-23 months","Child"
"2023-24","APR","776","38687","Wyoming","0.0201","13-17 years","2023-24, Wyoming: 13-17 years","Child"
"2023-24","APR","800","17706","South Dakota","0.0452","6-23 months","2023-24, South Dakota: 6-23 months","Child"
"2023-24","APR","829","157912","Mississippi","0.0052","9-12 years","2023-24, Mississippi: 9-12 years","Child"
"2023-24","APR","833","80919","West Virginia","0.0103","9-12 years","2023-24, West Virginia: 9-12 years","Child"
"2023-24","APR","845","24550","Hawaii","0.0344","6-23 months","2023-24, Hawaii: 6-23 months","Child"
"2023-24","APR","855","15564.5","North Dakota","0.0549","6-23 months","2023-24, North Dakota: 6-23 months","Child"
"2023-24","APR","861","73805.5","Oklahoma","0.0117","6-23 months","2023-24, Oklahoma: 6-23 months","Child"
"2023-24","APR","866","33304","Delaware","0.026","2-4 years","2023-24, Delaware: 2-4 years","Child"
"2023-24","APR","880","181154","Louisiana","0.0049","2-4 years","2023-24, Louisiana: 2-4 years","Child"
"2023-24","APR","979","113842","Arkansas","0.0086","2-4 years","2023-24, Arkansas: 2-4 years","Child"
