"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2024-25","AUG","3069","726305","Alaska","0.0042","Overall","2024-25, Alaska: Overall","All"
"2024-25","AUG","3103","519316","Nevada","0.006","65+ years","2024-25, Nevada: 65+ years","Adult"
"2024-25","AUG","3128","784957","Oregon","0.004","50-64 years","2024-25, Oregon: 50-64 years","Adult"
"2024-25","AUG","3130","981560.5","Delaware","0.0032","Overall","2024-25, Delaware: Overall","All"
"2024-25","AUG","3217","770835","Kentucky","0.0042","65+ years","2024-25, Kentucky: 65+ years","Adult"
"2024-25","AUG","3335","1991746","California","0.0017","9-12 years","2024-25, California: 9-12 years","Child"
"2024-25","AUG","3390","672299","California","0.005","6-23 months","2024-25, California: 6-23 months","Child"
"2024-25","AUG","3390","1605718.5","Arizona","0.0021","6 months to 17 years","2024-25, Arizona: 6 months to 17 years","Child"
"2024-25","AUG","3484","850894","Montana","0.0041","18+ years","2024-25, Montana: 18+ years","Adult"
"2024-25","AUG","3595","1074894.5","Montana","0.0033","Overall","2024-25, Montana: Overall","All"
"2024-25","AUG","3600","4140953","Florida","0.0009","6 months to 17 years","2024-25, Florida: 6 months to 17 years","Child"
"2024-25","AUG","3770","2110766","Texas","0.0018","13-17 years","2024-25, Texas: 13-17 years","Child"
"2024-25","AUG","3779","389911","New Mexico","0.0097","65+ years","2024-25, New Mexico: 65+ years","Adult"
"2024-25","AUG","3867","2707942","Illinois","0.0014","6 months to 17 years","2024-25, Illinois: 6 months to 17 years","Child"
"2024-25","AUG","3919","2335478","Pennsylvania","0.0017","50-64 years","2024-25, Pennsylvania (excluding Philadelphia County): 50-64 years","Adult"
"2024-25","AUG","4126","1428520","West Virginia","0.0029","18+ years","2024-25, West Virginia: 18+ years","Adult"
"2024-25","AUG","4173","1776063.5","West Virginia","0.0023","Overall","2024-25, West Virginia: Overall","All"
"2024-25","AUG","4189","1335281","Tennessee","0.0031","50-64 years","2024-25, Tennessee: 50-64 years","Adult"
"2024-25","AUG","4193","1239735","Philadelphia","0.0034","18+ years","2024-25, Philadelphia: 18+ years","Adult"
"2024-25","AUG","4298","2341888","Wisconsin","0.0018","18-49 years","2024-25, Wisconsin: 18-49 years","Adult"
"2024-25","AUG","4325","583228","District of Columbia","0.0074","18+ years","2024-25, District of Columbia: 18+ years","Adult"
"2024-25","AUG","4357","1375870","Idaho","0.0032","18+ years","2024-25, Idaho: 18+ years","Adult"
"2024-25","AUG","4388","2857609","Tennessee","0.0015","18-49 years","2024-25, Tennessee: 18-49 years","Adult"
"2024-25","AUG","4391","4712462","Ohio","0.0009","18-49 years","2024-25, Ohio: 18-49 years","Adult"
"2024-25","AUG","4432","1101973","Maine","0.004","18+ years","2024-25, Maine: 18+ years","Adult"
"2024-25","AUG","4490","1091861","Minnesota","0.0041","50-64 years","2024-25, Minnesota: 50-64 years","Adult"
"2024-25","AUG","4525","3027263","Oklahoma","0.0015","18+ years","2024-25, Oklahoma: 18+ years","Adult"
"2024-25","AUG","4551","2320603","Utah","0.002","18+ years","2024-25, Utah: 18+ years","Adult"
"2024-25","AUG","4567","1622553.5","Washington","0.0028","6 months to 17 years","2024-25, Washington: 6 months to 17 years","Child"
"2024-25","AUG","4651","2273653","Mississippi","0.002","18+ years","2024-25, Mississippi: 18+ years","Adult"
"2024-25","AUG","4658","708203.5","District of Columbia","0.0066","Overall","2024-25, District of Columbia: Overall","All"
"2024-25","AUG","4717","1816139.5","Idaho","0.0026","Overall","2024-25, Idaho: Overall","All"
"2024-25","AUG","4767","1568273.5","Philadelphia","0.003","Overall","2024-25, Philadelphia: Overall","All"
"2024-25","AUG","4768","2949076.5","Mississippi","0.0016","Overall","2024-25, Mississippi: Overall","All"
"2024-25","AUG","4869","3956445.5","Oklahoma","0.0012","Overall","2024-25, Oklahoma: Overall","All"
"2024-25","AUG","5022","1278598","Indiana","0.0039","50-64 years","2024-25, Indiana: 50-64 years","Adult"
"2024-25","AUG","5072","1344005","Maine","0.0038","Overall","2024-25, Maine: Overall","All"
"2024-25","AUG","5107","3226163.5","Utah","0.0016","Overall","2024-25, Utah: Overall","All"
"2024-25","AUG","5269","4366564","Pennsylvania","0.0012","18-49 years","2024-25, Pennsylvania (excluding Philadelphia County): 18-49 years","Adult"
"2024-25","AUG","5295","1498072","New York City","0.0035","50-64 years","2024-25, New York City: 50-64 years","Adult"
"2024-25","AUG","5398","763750","Louisiana","0.0071","65+ years","2024-25, Louisiana: 65+ years","Adult"
"2024-25","AUG","5494","1806245","Oregon","0.003","18-49 years","2024-25, Oregon: 18-49 years","Adult"
"2024-25","AUG","5560","2794631","Indiana","0.002","18-49 years","2024-25, Indiana: 18-49 years","Adult"
"2024-25","AUG","5600","1321503","Arizona","0.0042","50-64 years","2024-25, Arizona: 50-64 years","Adult"
"2024-25","AUG","5615","3079500","Arizona","0.0018","18-49 years","2024-25, Arizona: 18-49 years","Adult"
"2024-25","AUG","5845","645996","Connecticut","0.009","65+ years","2024-25, Connecticut: 65+ years","Adult"
"2024-25","AUG","5940","1053369","Colorado","0.0056","50-64 years","2024-25, Colorado: 50-64 years","Adult"
"2024-25","AUG","6034","2315421","Minnesota","0.0026","18-49 years","2024-25, Minnesota: 18-49 years","Adult"
"2024-25","AUG","6061","3475334","Kentucky","0.0017","18+ years","2024-25, Kentucky: 18+ years","Adult"
"2024-25","AUG","6067","1633828","New Mexico","0.0037","18+ years","2024-25, New Mexico: 18+ years","Adult"
"2024-25","AUG","6169","2440679","Nevada","0.0025","18+ years","2024-25, Nevada: 18+ years","Adult"
"2024-25","AUG","6446","566136","Iowa","0.0114","65+ years","2024-25, Iowa: 65+ years","Adult"
"2024-25","AUG","6460","1089714","Missouri","0.0059","65+ years","2024-25, Missouri: 65+ years","Adult"
"2024-25","AUG","6484","874244","Alabama","0.0074","65+ years","2024-25, Alabama: 65+ years","Adult"
"2024-25","AUG","6510","3120407","Nevada","0.0021","Overall","2024-25, Nevada: Overall","All"
"2024-25","AUG","6617","2522821","California","0.0026","13-17 years","2024-25, California: 13-17 years","Child"
"2024-25","AUG","6910","4450995.5","Kentucky","0.0016","Overall","2024-25, Kentucky: Overall","All"
"2024-25","AUG","6963","1415568","Washington","0.0049","50-64 years","2024-25, Washington: 50-64 years","Adult"
"2024-25","AUG","7339","2095031","New Mexico","0.0035","Overall","2024-25, New Mexico: Overall","All"
"2024-25","AUG","7392","7246622.5","Texas","0.001","6 months to 17 years","2024-25, Texas: 6 months to 17 years","Child"
"2024-25","AUG","7842","4391080","New York State","0.0018","18-49 years","2024-25, New York (excluding New York City): 18-49 years","Adult"
"2024-25","AUG","7859","2627928","Colorado","0.003","18-49 years","2024-25, Colorado: 18-49 years","Adult"
"2024-25","AUG","8055","2337214","New York State","0.0034","50-64 years","2024-25, New York (excluding New York City): 50-64 years","Adult"
"2024-25","AUG","8494","1829219","New Jersey","0.0046","50-64 years","2024-25, New Jersey: 50-64 years","Adult"
"2024-25","AUG","8885","2427133","Illinois","0.0037","50-64 years","2024-25, Illinois: 50-64 years","Adult"
"2024-25","AUG","9223","1222456","Maryland","0.0075","50-64 years","2024-25, Maryland: 50-64 years","Adult"
"2024-25","AUG","9284","3564038","Louisiana","0.0026","18+ years","2024-25, Louisiana: 18+ years","Adult"
"2024-25","AUG","9599","2438002","Iowa","0.0039","18+ years","2024-25, Iowa: 18+ years","Adult"
"2024-25","AUG","9758","2015461","Georgia","0.0048","50-64 years","2024-25, Georgia: 50-64 years","Adult"
"2024-25","AUG","9792","4616751","Louisiana","0.0021","Overall","2024-25, Louisiana: Overall","All"
"2024-25","AUG","10153","3145074","Iowa","0.0032","Overall","2024-25, Iowa: Overall","All"
"2024-25","AUG","10310","2838054","Connecticut","0.0036","18+ years","2024-25, Connecticut: 18+ years","Adult"
"2024-25","AUG","10397","3608589","New Jersey","0.0029","18-49 years","2024-25, New Jersey: 18-49 years","Adult"
"2024-25","AUG","10640","2512075","Maryland","0.0042","18-49 years","2024-25, Maryland: 18-49 years","Adult"
"2024-25","AUG","10645","2097638","Ohio","0.0051","65+ years","2024-25, Ohio: 65+ years","Adult"
"2024-25","AUG","10659","3834249","Alabama","0.0028","18+ years","2024-25, Alabama: 18+ years","Adult"
"2024-25","AUG","10926","3364376","Washington","0.0032","18-49 years","2024-25, Washington: 18-49 years","Adult"
"2024-25","AUG","10953","1308751","New York City","0.0084","65+ years","2024-25, New York City: 65+ years","Adult"
"2024-25","AUG","10974","4893409","Alabama","0.0022","Overall","2024-25, Alabama: Overall","All"
"2024-25","AUG","11064","3752487","New York City","0.0029","18-49 years","2024-25, New York City: 18-49 years","Adult"
"2024-25","AUG","11106","4619939","Georgia","0.0024","18-49 years","2024-25, Georgia: 18-49 years","Adult"
"2024-25","AUG","11209","4780119","Missouri","0.0023","18+ years","2024-25, Missouri: 18+ years","Adult"
"2024-25","AUG","11363","3539890","Connecticut","0.0032","Overall","2024-25, Connecticut: Overall","All"
"2024-25","AUG","11682","5293195","Illinois","0.0022","18-49 years","2024-25, Illinois: 18-49 years","Adult"
"2024-25","AUG","11791","6115723.5","Missouri","0.0019","Overall","2024-25, Missouri: Overall","All"
"2024-25","AUG","12222","1047935","Wisconsin","0.0117","65+ years","2024-25, Wisconsin: 65+ years","Adult"
"2024-25","AUG","12233","1180543","Tennessee","0.0104","65+ years","2024-25, Tennessee: 65+ years","Adult"
"2024-25","AUG","12254","2220720","Pennsylvania","0.0055","65+ years","2024-25, Pennsylvania (excluding Philadelphia County): 65+ years","Adult"
"2024-25","AUG","12380","5025173","Texas","0.0025","50-64 years","2024-25, Texas: 50-64 years","Adult"
"2024-25","AUG","13596","789527","Oregon","0.0172","65+ years","2024-25, Oregon: 65+ years","Adult"
"2024-25","AUG","14119","1115285","Indiana","0.0127","65+ years","2024-25, Indiana: 65+ years","Adult"
"2024-25","AUG","14179","13026771","Texas","0.0011","18-49 years","2024-25, Texas: 18-49 years","Adult"
"2024-25","AUG","17537","948841","Minnesota","0.0185","65+ years","2024-25, Minnesota: 65+ years","Adult"
"2024-25","AUG","17776","8567802","California","0.0021","6 months to 17 years","2024-25, California: 6 months to 17 years","Child"
"2024-25","AUG","17949","9124576","Ohio","0.002","18+ years","2024-25, Ohio: 18+ years","Adult"
"2024-25","AUG","18744","1373975","Arizona","0.0136","65+ years","2024-25, Arizona: 65+ years","Adult"
"2024-25","AUG","19330","1510028","New Jersey","0.0128","65+ years","2024-25, New Jersey: 65+ years","Adult"
"2024-25","AUG","19382","4574131","Wisconsin","0.0042","18+ years","2024-25, Wisconsin: 18+ years","Adult"
"2024-25","AUG","19902","4311636","Florida","0.0046","50-64 years","2024-25, Florida: 50-64 years","Adult"
"2024-25","AUG","19929","11627059","Ohio","0.0017","Overall","2024-25, Ohio: Overall","All"
"2024-25","AUG","20763","5801275.5","Wisconsin","0.0036","Overall","2024-25, Wisconsin: Overall","All"
"2024-25","AUG","20810","6846888.5","Tennessee","0.003","Overall","2024-25, Tennessee: Overall","All"
"2024-25","AUG","21350","876387","Colorado","0.0244","65+ years","2024-25, Colorado: 65+ years","Adult"
"2024-25","AUG","21442","8922762","Pennsylvania","0.0024","18+ years","2024-25, Pennsylvania (excluding Philadelphia County): 18+ years","Adult"
"2024-25","AUG","21563","8532850","Florida","0.0025","18-49 years","2024-25, Florida: 18-49 years","Adult"
"2024-25","AUG","21585","5373433","Tennessee","0.004","18+ years","2024-25, Tennessee: 18+ years","Adult"
"2024-25","AUG","22218","3380729","Oregon","0.0066","18+ years","2024-25, Oregon: 18+ years","Adult"
"2024-25","AUG","22388","987352","Maryland","0.0227","65+ years","2024-25, Maryland: 65+ years","Adult"
"2024-25","AUG","22401","1574667","Georgia","0.0142","65+ years","2024-25, Georgia: 65+ years","Adult"
"2024-25","AUG","23369","11148453","Pennsylvania","0.0021","Overall","2024-25, Pennsylvania (excluding Philadelphia County): Overall","All"
"2024-25","AUG","23902","4220498","Oregon","0.0057","Overall","2024-25, Oregon: Overall","All"
"2024-25","AUG","24239","1247874","Washington","0.0194","65+ years","2024-25, Washington: 65+ years","Adult"
"2024-25","AUG","24701","5188514","Indiana","0.0048","18+ years","2024-25, Indiana: 18+ years","Adult"
"2024-25","AUG","24731","2060818","New York State","0.012","65+ years","2024-25, New York (excluding New York City): 65+ years","Adult"
"2024-25","AUG","26151","6714728","Indiana","0.0039","Overall","2024-25, Indiana: Overall","All"
"2024-25","AUG","26613","3873683","Texas","0.0069","65+ years","2024-25, Texas: 65+ years","Adult"
"2024-25","AUG","27312","6559310","New York City","0.0042","18+ years","2024-25, New York City: 18+ years","Adult"
"2024-25","AUG","27462","2089234","Illinois","0.0131","65+ years","2024-25, Illinois: 65+ years","Adult"
"2024-25","AUG","28061","4356123","Minnesota","0.0064","18+ years","2024-25, Minnesota: 18+ years","Adult"
"2024-25","AUG","29548","5624147","Minnesota","0.0053","Overall","2024-25, Minnesota: Overall","All"
"2024-25","AUG","29709","8200096","New York City","0.0036","Overall","2024-25, New York City: Overall","All"
"2024-25","AUG","29959","5774978","Arizona","0.0052","18+ years","2024-25, Arizona: 18+ years","Adult"
"2024-25","AUG","30958","7220373","California","0.0043","50-64 years","2024-25, California: 50-64 years","Adult"
"2024-25","AUG","33349","7380696.5","Arizona","0.0045","Overall","2024-25, Arizona: Overall","All"
"2024-25","AUG","35149","4557684","Colorado","0.0077","18+ years","2024-25, Colorado: 18+ years","Adult"
"2024-25","AUG","36938","5776181","Colorado","0.0064","Overall","2024-25, Colorado: Overall","All"
"2024-25","AUG","38221","6947836","New Jersey","0.0055","18+ years","2024-25, New Jersey: 18+ years","Adult"
"2024-25","AUG","40083","8832618","New Jersey","0.0045","Overall","2024-25, New Jersey: Overall","All"
"2024-25","AUG","40268","8789112","New York State","0.0046","18+ years","2024-25, New York (excluding New York City): 18+ years","Adult"
"2024-25","AUG","42128","6027818","Washington","0.007","18+ years","2024-25, Washington: 18+ years","Adult"
"2024-25","AUG","42251","4721883","Maryland","0.0089","18+ years","2024-25, Maryland: 18+ years","Adult"
"2024-25","AUG","42335","11026194","New York State","0.0038","Overall","2024-25, New York (excluding New York City): Overall","All"
"2024-25","AUG","43265","8210067","Georgia","0.0053","18+ years","2024-25, Georgia: 18+ years","Adult"
"2024-25","AUG","44469","6021010.5","Maryland","0.0074","Overall","2024-25, Maryland: Overall","All"
"2024-25","AUG","44881","10647521","Georgia","0.0042","Overall","2024-25, Georgia: Overall","All"
"2024-25","AUG","46695","7650371.5","Washington","0.0061","Overall","2024-25, Washington: Overall","All"
"2024-25","AUG","48029","9809562","Illinois","0.0049","18+ years","2024-25, Illinois: 18+ years","Adult"
"2024-25","AUG","48638","17380305","California","0.0028","18-49 years","2024-25, California: 18-49 years","Adult"
"2024-25","AUG","51896","12517504","Illinois","0.0041","Overall","2024-25, Illinois: Overall","All"
"2024-25","AUG","53172","29172250","Texas","0.0018","Overall","2024-25, Texas: Overall","All"
"2024-25","AUG","60564","21925627","Texas","0.0028","18+ years","2024-25, Texas: 18+ years","Adult"
"2024-25","AUG","62736","4638094","Florida","0.0135","65+ years","2024-25, Florida: 65+ years","Adult"
"2024-25","AUG","104201","17482580","Florida","0.006","18+ years","2024-25, Florida: 18+ years","Adult"
"2024-25","AUG","107801","21623533","Florida","0.005","Overall","2024-25, Florida: Overall","All"
"2024-25","AUG","110970","5976166","California","0.0186","65+ years","2024-25, California: 65+ years","Adult"
"2024-25","AUG","190566","30576844","California","0.0062","18+ years","2024-25, California: 18+ years","Adult"
"2024-25","AUG","208342","39144646","California","0.0053","Overall","2024-25, California: Overall","All"
"2024-25","DEC",,,"Chicago",,"13-17 years","2024-25, Chicago: 13-17 years","Child"
"2024-25","DEC",,,"Chicago",,"18+ years","2024-25, Chicago: 18+ years","Adult"
"2024-25","DEC",,,"Chicago",,"18-49 years","2024-25, Chicago: 18-49 years","Adult"
"2024-25","DEC",,,"Chicago",,"2-4 years","2024-25, Chicago: 2-4 years","Child"
"2024-25","DEC",,,"Chicago",,"5-8 years","2024-25, Chicago: 5-8 years","Child"
"2024-25","DEC",,,"Chicago",,"50-64 years","2024-25, Chicago: 50-64 years","Adult"
"2024-25","DEC",,,"Chicago",,"6 months to 17 years","2024-25, Chicago: 6 months to 17 years","Child"
"2024-25","DEC",,,"Chicago",,"6-23 months","2024-25, Chicago: 6-23 months","Child"
"2024-25","DEC",,,"Chicago",,"65+ years","2024-25, Chicago: 65+ years","Adult"
"2024-25","DEC",,,"Chicago",,"9-12 years","2024-25, Chicago: 9-12 years","Child"
"2024-25","DEC",,,"Chicago",,"Overall","2024-25, Chicago: Overall","All"
"2024-25","DEC",,,"Hawaii",,"13-17 years","2024-25, Hawaii: 13-17 years","Child"
"2024-25","DEC",,,"Hawaii",,"18+ years","2024-25, Hawaii: 18+ years","Adult"
"2024-25","DEC",,,"Hawaii",,"18-49 years","2024-25, Hawaii: 18-49 years","Adult"
"2024-25","DEC",,,"Hawaii",,"2-4 years","2024-25, Hawaii: 2-4 years","Child"
"2024-25","DEC",,,"Hawaii",,"5-8 years","2024-25, Hawaii: 5-8 years","Child"
"2024-25","DEC",,,"Hawaii",,"50-64 years","2024-25, Hawaii: 50-64 years","Adult"
"2024-25","DEC",,,"Hawaii",,"6 months to 17 years","2024-25, Hawaii: 6 months to 17 years","Child"
"2024-25","DEC",,,"Hawaii",,"6-23 months","2024-25, Hawaii: 6-23 months","Child"
"2024-25","DEC",,,"Hawaii",,"65+ years","2024-25, Hawaii: 65+ years","Adult"
"2024-25","DEC",,,"Hawaii",,"9-12 years","2024-25, Hawaii: 9-12 years","Child"
"2024-25","DEC",,,"Hawaii",,"Overall","2024-25, Hawaii: Overall","All"
"2024-25","DEC",,,"Houston",,"13-17 years","2024-25, Houston: 13-17 years","Child"
"2024-25","DEC",,,"Houston",,"18+ years","2024-25, Houston: 18+ years","Adult"
"2024-25","DEC",,,"Houston",,"18-49 years","2024-25, Houston: 18-49 years","Adult"
"2024-25","DEC",,,"Houston",,"2-4 years","2024-25, Houston: 2-4 years","Child"
"2024-25","DEC",,,"Houston",,"5-8 years","2024-25, Houston: 5-8 years","Child"
"2024-25","DEC",,,"Houston",,"50-64 years","2024-25, Houston: 50-64 years","Adult"
"2024-25","DEC",,,"Houston",,"6 months to 17 years","2024-25, Houston: 6 months to 17 years","Child"
"2024-25","DEC",,,"Houston",,"6-23 months","2024-25, Houston: 6-23 months","Child"
"2024-25","DEC",,,"Houston",,"65+ years","2024-25, Houston: 65+ years","Adult"
"2024-25","DEC",,,"Houston",,"9-12 years","2024-25, Houston: 9-12 years","Child"
"2024-25","DEC",,,"Houston",,"Overall","2024-25, Houston: Overall","All"
"2024-25","DEC",,,"Kansas",,"13-17 years","2024-25, Kansas: 13-17 years","Child"
"2024-25","DEC",,,"Kansas",,"18+ years","2024-25, Kansas: 18+ years","Adult"
"2024-25","DEC",,,"Kansas",,"18-49 years","2024-25, Kansas: 18-49 years","Adult"
"2024-25","DEC",,,"Kansas",,"2-4 years","2024-25, Kansas: 2-4 years","Child"
"2024-25","DEC",,,"Kansas",,"5-8 years","2024-25, Kansas: 5-8 years","Child"
"2024-25","DEC",,,"Kansas",,"50-64 years","2024-25, Kansas: 50-64 years","Adult"
"2024-25","DEC",,,"Kansas",,"6 months to 17 years","2024-25, Kansas: 6 months to 17 years","Child"
"2024-25","DEC",,,"Kansas",,"6-23 months","2024-25, Kansas: 6-23 months","Child"
"2024-25","DEC",,,"Kansas",,"65+ years","2024-25, Kansas: 65+ years","Adult"
"2024-25","DEC",,,"Kansas",,"9-12 years","2024-25, Kansas: 9-12 years","Child"
"2024-25","DEC",,,"Kansas",,"Overall","2024-25, Kansas: Overall","All"
"2024-25","DEC",,,"Massachusetts",,"13-17 years","2024-25, Massachusetts: 13-17 years","Child"
"2024-25","DEC",,,"Massachusetts",,"18+ years","2024-25, Massachusetts: 18+ years","Adult"
"2024-25","DEC",,,"Massachusetts",,"18-49 years","2024-25, Massachusetts: 18-49 years","Adult"
"2024-25","DEC",,,"Massachusetts",,"2-4 years","2024-25, Massachusetts: 2-4 years","Child"
"2024-25","DEC",,,"Massachusetts",,"5-8 years","2024-25, Massachusetts: 5-8 years","Child"
"2024-25","DEC",,,"Massachusetts",,"50-64 years","2024-25, Massachusetts: 50-64 years","Adult"
"2024-25","DEC",,,"Massachusetts",,"6 months to 17 years","2024-25, Massachusetts: 6 months to 17 years","Child"
"2024-25","DEC",,,"Massachusetts",,"6-23 months","2024-25, Massachusetts: 6-23 months","Child"
"2024-25","DEC",,,"Massachusetts",,"65+ years","2024-25, Massachusetts: 65+ years","Adult"
"2024-25","DEC",,,"Massachusetts",,"9-12 years","2024-25, Massachusetts: 9-12 years","Child"
"2024-25","DEC",,,"Massachusetts",,"Overall","2024-25, Massachusetts: Overall","All"
"2024-25","DEC",,,"Nebraska",,"13-17 years","2024-25, Nebraska: 13-17 years","Child"
"2024-25","DEC",,,"Nebraska",,"18+ years","2024-25, Nebraska: 18+ years","Adult"
"2024-25","DEC",,,"Nebraska",,"18-49 years","2024-25, Nebraska: 18-49 years","Adult"
"2024-25","DEC",,,"Nebraska",,"2-4 years","2024-25, Nebraska: 2-4 years","Child"
"2024-25","DEC",,,"Nebraska",,"5-8 years","2024-25, Nebraska: 5-8 years","Child"
"2024-25","DEC",,,"Nebraska",,"50-64 years","2024-25, Nebraska: 50-64 years","Adult"
"2024-25","DEC",,,"Nebraska",,"6 months to 17 years","2024-25, Nebraska: 6 months to 17 years","Child"
"2024-25","DEC",,,"Nebraska",,"6-23 months","2024-25, Nebraska: 6-23 months","Child"
"2024-25","DEC",,,"Nebraska",,"65+ years","2024-25, Nebraska: 65+ years","Adult"
"2024-25","DEC",,,"Nebraska",,"9-12 years","2024-25, Nebraska: 9-12 years","Child"
"2024-25","DEC",,,"Nebraska",,"Overall","2024-25, Nebraska: Overall","All"
"2024-25","DEC",,,"New Hampshire",,"13-17 years","2024-25, New Hampshire: 13-17 years","Child"
"2024-25","DEC",,,"New Hampshire",,"18+ years","2024-25, New Hampshire: 18+ years","Adult"
"2024-25","DEC",,,"New Hampshire",,"18-49 years","2024-25, New Hampshire: 18-49 years","Adult"
"2024-25","DEC",,,"New Hampshire",,"2-4 years","2024-25, New Hampshire: 2-4 years","Child"
"2024-25","DEC",,,"New Hampshire",,"5-8 years","2024-25, New Hampshire: 5-8 years","Child"
"2024-25","DEC",,,"New Hampshire",,"50-64 years","2024-25, New Hampshire: 50-64 years","Adult"
"2024-25","DEC",,,"New Hampshire",,"6 months to 17 years","2024-25, New Hampshire: 6 months to 17 years","Child"
"2024-25","DEC",,,"New Hampshire",,"6-23 months","2024-25, New Hampshire: 6-23 months","Child"
"2024-25","DEC",,,"New Hampshire",,"65+ years","2024-25, New Hampshire: 65+ years","Adult"
"2024-25","DEC",,,"New Hampshire",,"9-12 years","2024-25, New Hampshire: 9-12 years","Child"
"2024-25","DEC",,,"New Hampshire",,"Overall","2024-25, New Hampshire: Overall","All"
"2024-25","DEC",,,"Rhode Island",,"13-17 years","2024-25, Rhode Island: 13-17 years","Child"
"2024-25","DEC",,,"Rhode Island",,"18+ years","2024-25, Rhode Island: 18+ years","Adult"
"2024-25","DEC",,,"Rhode Island",,"18-49 years","2024-25, Rhode Island: 18-49 years","Adult"
"2024-25","DEC",,,"Rhode Island",,"2-4 years","2024-25, Rhode Island: 2-4 years","Child"
"2024-25","DEC",,,"Rhode Island",,"5-8 years","2024-25, Rhode Island: 5-8 years","Child"
"2024-25","DEC",,,"Rhode Island",,"50-64 years","2024-25, Rhode Island: 50-64 years","Adult"
"2024-25","DEC",,,"Rhode Island",,"6 months to 17 years","2024-25, Rhode Island: 6 months to 17 years","Child"
"2024-25","DEC",,,"Rhode Island",,"6-23 months","2024-25, Rhode Island: 6-23 months","Child"
"2024-25","DEC",,,"Rhode Island",,"65+ years","2024-25, Rhode Island: 65+ years","Adult"
"2024-25","DEC",,,"Rhode Island",,"9-12 years","2024-25, Rhode Island: 9-12 years","Child"
"2024-25","DEC",,,"Rhode Island",,"Overall","2024-25, Rhode Island: Overall","All"
"2024-25","DEC",,,"South Carolina",,"13-17 years","2024-25, South Carolina: 13-17 years","Child"
"2024-25","DEC",,,"South Carolina",,"18+ years","2024-25, South Carolina: 18+ years","Adult"
"2024-25","DEC",,,"South Carolina",,"18-49 years","2024-25, South Carolina: 18-49 years","Adult"
"2024-25","DEC",,,"South Carolina",,"2-4 years","2024-25, South Carolina: 2-4 years","Child"
"2024-25","DEC",,,"South Carolina",,"5-8 years","2024-25, South Carolina: 5-8 years","Child"
"2024-25","DEC",,,"South Carolina",,"50-64 years","2024-25, South Carolina: 50-64 years","Adult"
"2024-25","DEC",,,"South Carolina",,"6 months to 17 years","2024-25, South Carolina: 6 months to 17 years","Child"
"2024-25","DEC",,,"South Carolina",,"6-23 months","2024-25, South Carolina: 6-23 months","Child"
"2024-25","DEC",,,"South Carolina",,"65+ years","2024-25, South Carolina: 65+ years","Adult"
"2024-25","DEC",,,"South Carolina",,"9-12 years","2024-25, South Carolina: 9-12 years","Child"
"2024-25","DEC",,,"South Carolina",,"Overall","2024-25, South Carolina: Overall","All"
"2024-25","DEC",,,"Virginia",,"13-17 years","2024-25, Virginia: 13-17 years","Child"
"2024-25","DEC",,,"Virginia",,"18+ years","2024-25, Virginia: 18+ years","Adult"
"2024-25","DEC",,,"Virginia",,"18-49 years","2024-25, Virginia: 18-49 years","Adult"
"2024-25","DEC",,,"Virginia",,"2-4 years","2024-25, Virginia: 2-4 years","Child"
"2024-25","DEC",,,"Virginia",,"5-8 years","2024-25, Virginia: 5-8 years","Child"
"2024-25","DEC",,,"Virginia",,"50-64 years","2024-25, Virginia: 50-64 years","Adult"
"2024-25","DEC",,,"Virginia",,"6 months to 17 years","2024-25, Virginia: 6 months to 17 years","Child"
"2024-25","DEC",,,"Virginia",,"6-23 months","2024-25, Virginia: 6-23 months","Child"
"2024-25","DEC",,,"Virginia",,"65+ years","2024-25, Virginia: 65+ years","Adult"
"2024-25","DEC",,,"Virginia",,"9-12 years","2024-25, Virginia: 9-12 years","Child"
"2024-25","DEC",,,"Virginia",,"Overall","2024-25, Virginia: Overall","All"
"2024-25","DEC","0","355.5","Republic of Palau","0","6-23 months","2024-25, Republic of Palau: 6-23 months","Child"
"2024-25","DEC","0","684","Republic of Palau","0","2-4 years","2024-25, Republic of Palau: 2-4 years","Child"
"2024-25","DEC","0","928","Republic of Palau","0","5-8 years","2024-25, Republic of Palau: 5-8 years","Child"
"2024-25","DEC","0","1099","Republic of Palau","0","9-12 years","2024-25, Republic of Palau: 9-12 years","Child"
"2024-25","DEC","0","1258.5","American Samoa","0","6-23 months","2024-25, American Samoa: 6-23 months","Child"
"2024-25","DEC","0","1763","Republic of Palau","0","13-17 years","2024-25, Republic of Palau: 13-17 years","Child"
"2024-25","DEC","0","1951","U.S. Virgin Islands ","0","6-23 months","2024-25, U.S. Virgin Islands : 6-23 months","Child"
"2024-25","DEC","0","2608","American Samoa","0","2-4 years","2024-25, American Samoa: 2-4 years","Child"
"2024-25","DEC","0","2844","Federated States of Micronesia","0","6-23 months","2024-25, Federated States of Micronesia: 6-23 months","Child"
"2024-25","DEC","0","3481","American Samoa","0","5-8 years","2024-25, American Samoa: 5-8 years","Child"
"2024-25","DEC","0","3546","American Samoa","0","9-12 years","2024-25, American Samoa: 9-12 years","Child"
"2024-25","DEC","0","4748","American Samoa","0","13-17 years","2024-25, American Samoa: 13-17 years","Child"
"2024-25","DEC","0","4829.5","Republic of Palau","0","6 months to 17 years","2024-25, Republic of Palau: 6 months to 17 years","Child"
"2024-25","DEC","0","5706","Federated States of Micronesia","0","2-4 years","2024-25, Federated States of Micronesia: 2-4 years","Child"
