Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
08/24/2021,34,TN,7503270,367800,3035880,4099590,,0,109871,0,128578,141062,656228,6163529,0,6162767,5892183,1872604,193407,2429823,3516675,,23624,90253,0,105607,110774,163776,6037582,3306357,48.4,0,0,3305706,56.6,3146670,59.2,947727,82.9,2798249,41,0,0,2798100,47.9,2691465,50.6,859551,75.2,187060,1063103,1541634,,6452,,,,,187020,1063086,1541542,6452,186868,1062711,1435485,6401,31425,430061,394493,3572,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,DD2,4405380,186300,1850820,2368260,,0,0,0,0,0,0,4737636,0,4737434,4502233,353672,188630,1846433,2701435,,1138,0,0,0,0,0,4737636,2706225,0,0,0,2706067,0,2568800,0,195292,0,2073823,0,0,0,2073763,0,1979255,0,144949,0,185223,755830,1132766,,4,,,,,185203,755815,1132741,4,185072,755721,1038458,4,6865,51878,86206,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,FM,80600,10200,68600,1800,,0,77767,0,91064,99844,458972,63236,0,63222,63187,5126,10718,52507,11,,0,61013,0,71430,78273,29190,63704,39547,38.2,0,0,39534,44.7,39491,48.9,3169,18,33317,32.1,0,0,33309,37.6,33292,41.2,2842,16.2,10161,23074,81,,1,,,,,10154,23073,81,1,10141,23069,81,1,942,1894,6,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,VT,971810,52800,425900,493110,,0,155742,0,176388,190557,777206,867844,0,867565,811592,251013,41769,351606,473750,,719,139080,0,157467,159141,200748,856525,472283,75.7,0,0,472013,85.7,441628,86.6,126931,99.9,421304,67.5,0,0,421272,76.5,395139,77.5,117676,94.1,40529,160519,220011,,245,,,,,40515,160513,219999,245,40467,160489,193955,228,2169,57328,58034,145,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,PR,4330470,190000,1918220,2222250,,0,135594,0,152037,165224,797614,4166339,0,4164907,3859952,1070204,120595,1737945,2307442,,357,130455,0,146225,147272,157463,4196116,2321685,72.7,0,0,2320540,81.5,2145708,81.9,577470,85,1984345,62.1,0,0,1984010,69.7,1850894,70.6,515652,75.9,120249,804243,1059812,,41,,,,,120203,804191,1059575,41,120096,803896,926862,40,20878,260863,233903,8,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,AZ,9131170,431000,3786560,4913610,,0,125450,0,147133,161944,697764,7456104,0,7455172,6990653,2184737,268240,3103442,4073915,,10507,102437,0,120127,123981,166948,7332856,4069535,55.9,0,0,4068704,65.6,3808765,67.5,1141616,87.2,3434438,47.2,0,0,3434087,55.3,3239864,57.5,987214,75.4,260062,1365167,1805935,,3274,,,,,259829,1365146,1805839,3273,259681,1364686,1612258,3239,43865,487664,453935,1750,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,NH,1990190,116700,797540,1075950,,0,146369,0,166047,180196,783959,1674409,0,1673786,1569066,444253,76586,675203,922595,,25,123144,0,139649,142067,174996,1693521,905697,66.6,0,0,905247,75.5,852766,77.2,243342,95.9,807422,59.4,0,0,807214,67.3,764768,69.2,221881,87.4,65537,317676,424171,,38,,,,,65512,317575,424089,38,65483,317428,381819,38,13975,93619,114267,20,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,DC,1125745,54400,447960,623385,,0,159511,0,184623,194907,1288880,936344,0,936259,906511,178389,29905,361675,544340,,424,132674,0,153547,156950,204240,848608,470930,66.7,0,0,470826,77.2,450944,78.1,78138,89.5,400642,56.8,0,0,400595,65.7,387889,67.2,70230,80.4,33477,149104,217822,,239,,,,,33474,149098,217786,237,33456,149047,205163,223,2409,38601,29190,30,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,MA,10319390,444700,4201240,5673450,,0,149719,0,171511,186281,882503,9386189,0,9357695,8731808,2112070,318501,3683853,5383618,,217,136180,0,155528,157622,180622,9390779,5150705,74.7,0,0,5133942,85.3,4788699,86.4,1147474,98.1,4507841,65.4,0,0,4496370,74.7,4213413,76.1,1024988,87.7,320080,1693027,2494634,,100,,,,,320073,1693019,2483178,100,318880,1687761,2206685,87,67391,465247,492320,30,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/24/2021,34,LTC,87133915,2474700,25753540,58905675,,0,0,0,0,0,0,7925949,0,0,0,0,28055,2018682,5872056,,7156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
