"","X","hosp","week","year","Location","temp","inverse_temp","humid_smooth","odds_frequency","incident","time","t","humid_smooth_mult","pop_size_2023","hosp_per_100k","date","mean_indoor"
"58",58,2352,6,2023,"CA",9.14689461061196,19.9745326501534,71.6436040681453,0.649063028349227,0.00234898138057817,2023.11538461538,58,0,39198693,6.0002000576907,2019-02-10,115.722701493112
"59",59,2234,7,2023,"CA",7.76130875147364,21.3601185092917,74.1998565168853,0.917904523376225,0.00196840746705508,2023.13461538462,59,0,39198693,5.69916961261948,2019-02-17,104.44527267295
"60",60,2626,8,2023,"CA",7.84811487919004,21.2733123815753,74.5602325884065,1.29147666881466,0.00225583201630387,2023.15384615385,60,0,39198693,6.69920295556793,2019-02-24,117.062380760485
"61",61,2783,9,2023,"CA",6.27317375439484,22.8482535063705,76.2808582451299,1.47339002287381,0.00206900605929216,2023.17307692308,61,0,39198693,7.09972651384065,2019-03-03,113.529297127673
"62",62,2783,10,2023,"CA",7.27505201266424,21.8463752481011,79.3842140448628,1.68667713865282,0.00203624986509966,2023.19230769231,62,0,39198693,7.09972651384065,2019-03-10,96.207014388839
"63",63,2744,11,2023,"CA",10.832009664146,18.2894175966193,78.2176935361855,1.99626048217796,0.00159231499546851,2023.21153846154,63,0,39198693,7.00023340063915,2019-03-17,100.925495769109
"64",64,1882,12,2023,"CA",9.95172457219256,19.1697026885728,77.7259633254479,2.38648165899738,0.00155551955095373,2023.23076923077,64,0,39198693,4.80118048833924,2019-03-24,98.1090311191588
"65",65,1999,13,2023,"CA",7.85995289599169,21.2614743647736,75.2681619144085,2.65528594014119,0.00144921498615612,2023.25,65,0,39198693,5.09965982794375,2019-03-31,102.502451463676
"66",66,1686,14,2023,"CA",8.92966795185379,20.1917593089115,72.5486106258943,2.97044251037976,0.00130782421750643,2023.26923076923,66,0,39198693,4.30116381686502,2019-04-07,92.4753276892694
"67",67,1842,15,2023,"CA",11.7240072509407,17.3974200098247,70.6617205693785,2.97476529179275,0.00120405375080575,2023.28846153846,67,0,39198693,4.69913626967103,2019-04-14,91.5312508156436
"68",68,1921,16,2023,"CA",10.8405291162745,18.2808981444909,69.5364170053019,2.97909749623904,0.0012583667861919,2023.30769230769,68,0,39198693,4.90067360154075,2019-04-21,94.9567745198568
"69",69,1842,17,2023,"CA",15.9760491674769,13.1453780932884,70.2052937828742,2.68203006136821,0.00149835778112975,2023.32692307692,69,0,39198693,4.69913626967103,2019-04-28,97.8153045398286
"70",70,1764,18,2023,"CA",12.0128758486923,17.1085514120731,70.40414892501,2.42623748950311,0.00211330175387905,2023.34615384615,70,0,39198693,4.50015004326802,2019-05-05,97.8490170815359
"71",71,1215,19,2023,"CA",12.5061963559011,16.6152309048642,71.4936172504539,1.99677882129706,0.00518167384243266,2023.36538461538,71,0,39198693,3.09959314204685,2019-05-12,104.151582868778
"72",72,1568,20,2023,"CA",16.9334239666371,12.1880032941282,72.5141468883321,1.66298886771654,0.00474986768889278,2023.38461538462,72,0,39198693,4.0001333717938,2019-05-19,96.2585959982608
"73",73,1568,21,2023,"CA",15.2179411432021,13.9034861175633,70.2697255763365,1.2845917592485,0.004318061535358,2023.40384615385,73,0,39198693,4.0001333717938,2019-05-26,85.327314614412
"74",74,1490,22,2023,"CA",14.7548511741292,14.3665760866361,69.6975290943604,1.0003519677525,0.00388625538182322,2023.42307692308,74,0,39198693,3.80114714539079,2019-06-02,88.1288593858031
"75",75,1254,23,2023,"CA",16.7443158752491,12.3771113855163,68.0632480904875,0.778269868613547,0.00345444922828844,2023.44230769231,75,0,39198693,3.19908625524836,2019-06-09,92.2604368820778
"76",76,1176,24,2023,"CA",16.3126008664991,12.8088263942662,67.1908455644823,0.600571951208226,0.00302264307474856,2023.46153846154,76,0,39198693,3.00010002884535,2019-06-16,88.5388822665714
"77",77,1333,25,2023,"CA",16.1478778292915,12.9735494314738,65.8828391233697,0.497603448023075,0.00259083692121378,2023.48076923077,77,0,39198693,3.40062358711807,2019-06-23,89.3114418777046
"78",78,1333,26,2023,"CA",16.3225957159119,12.7988315448535,65.1302870549103,0.407082565463365,0.002159030767679,2023.5,78,0,39198693,3.40062358711807,2019-06-30,82.0704295002613
"79",79,1215,27,2023,"CA",19.1848853537485,9.93654190701684,64.1545992734909,0.358309005997194,0.00172722461414422,2023.51923076923,79,0,39198693,3.09959314204685,2019-07-07,93.153192761779
"80",80,1254,28,2023,"CA",17.6529833384025,11.4684439223629,62.7895369238475,0.312803434434863,0.00129541846060944,2023.53846153846,80,0,39198693,3.19908625524836,2019-07-14,91.1310310744287
"81",81,1568,29,2023,"CA",20.84966142567,8.27176583509538,62.5912378703194,0.272655483474803,0.000863612307069558,2023.55769230769,81,0,39198693,4.0001333717938,2019-07-21,89.5917600753505
"82",82,1490,30,2023,"CA",20.5467628501327,8.57466441063262,62.4747904544544,0.234890261094189,0.000431806153534779,2023.57692307692,82,0,39198693,3.80114714539079,2019-07-28,93.7271573375823
"83",83,1960,31,2023,"CA",18.6337355635241,10.4876916972412,63.3401972457072,0.187328781186463,0,2023.59615384615,83,0,39198693,5.00016671474225,2019-08-04,90.3132353358683
"84",84,2078,32,2023,"CA",20.1264687398484,8.99495852091693,64.7475935784067,0.223730808654861,0,2023.61538461538,84,0,39198693,5.30119715981347,2019-08-11,95.3632579892983
"85",85,2117,33,2023,"CA",20.8748934362738,8.24653382449156,65.1217248581422,0.246451476824832,0,2023.63461538462,85,0,39198693,5.40069027301497,2019-08-18,90.3572877903036
"86",86,2117,34,2023,"CA",21.3576527842167,7.76377447654863,65.7672599334338,0.270031802619144,0,2023.65384615385,86,0,39198693,5.40069027301497,2019-08-25,92.704467577594
"87",87,2391,35,2023,"CA",20.3455050747485,8.77592218601678,65.627122786399,0.30584168661639,0,2023.67307692308,87,0,39198693,6.0996931708922,2019-09-01,93.1407442942642
"88",88,2430,36,2023,"CA",18.4519560719964,10.6694711887689,66.9237795641026,0.343729556383535,0.00198599862871543,2023.69230769231,88,0,39198693,6.19918628409371,2019-09-08,96.2172473139053
"89",89,2391,37,2023,"CA",19.1933151697767,9.92811209098863,68.1698799863499,0.356889023584853,0.00308107167664846,2023.71153846154,89,0,39198693,6.0996931708922,2019-09-15,93.2859593231355
"90",90,2587,38,2023,"CA",17.4864085713488,11.6350186894165,67.753125097689,0.37030878759944,0.00417850305232763,2023.73076923077,90,0,39198693,6.59970984236643,2019-09-22,97.60682416598
